novel_author,novel_introduction,novel_name,novel_redu,novel_shoucang,novel_startdate,novel_status,novel_tag,novel_updatedate,novel_url,novel_zishu
SaltedFish,多作者共同描写的盛大史书！ 从遥远的天空俯瞰下界，大地生机盎然，海洋碧波万顷，各种魔兽，动物，山河，城市，国家，宛如画卷般美丽。 然而，芸芸众生在这片大陆上出生，成长，欢笑，悲泣，憎恶，斗争，夺取，最终毁灭。 人们在大陆上画出自己的国境线，并为此勾心斗角，徒然浪费了金钱，时间与生命。 就这样，在不同的国家里，有人无助，有人执着，有人迷惘，有人坚定。每个人在自己的烦恼中挣扎并行动，于是，属于他们自己的传说开始了 ,新兰大陆·黎萌传说,<1万,8,4天前,"
                        ,
                            连载中                    ",幻想|战斗|异界,3小时前,http://www.linovel.net/book/105573.html,8165
Rouge红,"“超能力，究竟是什么？”,
这是由科学主导的世界。世间大部分现象可以经由现代科学得到合理的解释。,
——而超能力，不在其中。,
那它又是什么呢？,
对自己身上的未知力量抱有恐惧和厌恶，苦苦追寻答案的超能力者米那，在某天深夜目击了同为超能力者的少年少女们之间的战斗。,
当少年邂逅少女，故事的大幕就此拉开——,
,
",超能力革命,7.7万,50,2018-07-21 20:44,"
                        ,
                            连载中                    ",校园|科幻|超能力|2018轻之文库创想物语大赏1st,3小时前,http://www.linovel.net/book/104747.html,5.8万
小毯神北,"开局没人形打毛线，好不容易捡了只人形回来，却只知道吃吃喝喝，睡睡，,
emnm，我当初怎么会把这货捡回来。",人形契约,10万,82,2018-06-03 22:27,"
                        ,
                            连载中                    ",幻想|战斗|后宫,2小时前,http://www.linovel.net/book/104419.html,12万
黑糖醬,"　　世界的地表由一座岛屿、一片大陆，和汪洋大海所组成，除此以外就没有了。岛上有人，大陆上有怪物，大海裡没有任何生命居住。岛屿名为尤莉，其中有一城市，城市裡有普通人，有特异人士。普通人多为成年男性，自称市民，平均年龄70岁；特异人士几乎全是年轻女性，鲜少有男性，可操纵大气中的属性能量乙太，过了25岁之后能力衰减，被世人称作乙太少女。,
,
　　某日，岛上有一名身披破布的17岁少年陈大中正在被人追逐着，一名戴着微笑面具的17岁少女席琳娜前来，使其脱离危险，但因某些原因，席琳娜被大中按在地上，从此之后，大中就被迫成为乙太少女学院裡唯一的男学生。,
,
　　席琳娜的「sweet heart」。,
,
　　大中才刚来学校，就莫名成为全校上下众所皆知的人物。,
,
　　于惹恼学姊之后，大中暴露自己也能操纵乙太这个事实，且功力绝不是泛泛之辈等级，在校长莫名被政府勒令停职、岛上的禁卫军接管学校后，各种秘密开始浮出水面。,
,
　　身为岛上最强的席琳娜居然是冒牌的，大中又梦到自己小时候其实并非男性，究竟大中的真实身分是谁？学院的未来又会如何呢？,
,
(全文亦于原创星球、二维秀、巴哈姆特、SOSreader、EP连载)",乙太少女学院 那座岛上的「sweet heart」,3.9万,38,2018-08-24 00:05,"
                        ,
                            连载中                    ",校园|后宫|超能力,2小时前,http://www.linovel.net/book/105441.html,5.4万
花鸟,"原因不明地失去了记忆，倒在荒野的洛塔尔醒来之后，在他身边守着的是一名有着温暖笑容的少女。,
为了寻找跟记忆有关的线索，洛塔尔决定与之同行，却在途中捡到了另一个失忆的少女！,
今天难道是什么失忆症的爆发日吗？！,
从各种意义上来说都非常“不妙”组合就此诞生，踏上了旅途。,
这是一个关于兵器与约定的故事。,
关于爱与守护的故事。",断剑的墨尔菲斯,214.9万,2528,2016-03-25 17:19,"
                        ,
                            连载中                    ",幻想|战斗|恋爱,2小时前,http://www.linovel.net/book/100066.html,45.3万
CrobatSpr,该剧本为安攻略支线，不可与安主线同时进行。如果在自由者路线通过这条支线clear安，可以开启两个人的城市（安）后续剧情。,童话幻想国度（安攻略支线）,1.9万,10,4天前,"
                        ,
                            已完结                    ",幻想|恋爱|治愈|永远的7日之都,2小时前,http://www.linovel.net/book/105566.html,1.2万
初霜小九Okami,"普里阿墨斯之女卡珊德拉，神蛇洗耳的预言者，,
没有海伦的倾国倾城，没有波吕克赛娜的好运，,
她说的每一件事、每一句话，都遭人嘲笑、不信任，,
也许深陷这样无助的处境，不幸的特洛伊公主选择堕墙自尽，,
却意外开始了另一段与众不同的人生，命运的线向她展开——,
城外有强权强势的阿伽门农、不可小觑的阿基里斯，,
城内还有阴险狡诈的帕里斯、威胁感全开的阿波罗，,
但她注定选择一人，与他同生共死。",【希腊神话】特洛伊的太阳,3.9万,30,2018-08-23 16:07,"
                        ,
                            连载中                    ",幻想|战斗|恋爱|2018轻之文库创想物语大赏1st,2小时前,http://www.linovel.net/book/105430.html,3.5万
天祥院音痴,本文为《永远的7日之都》X轻之文库征文活动投稿，请谨慎阅读,愿汝归乡,1万,2,2018-08-13 13:20,"
                        ,
                            连载中                    ",幻想|异界|同人|永远的7日之都,2小时前,http://www.linovel.net/book/105220.html,2179
賢人,"名为奥尼的创世神创造了这个世界，为了管理庞大的世界，祂创造出了大天使，珀魂来帮忙。,
大天使珀魂有着近乎与奥尼相等的全能力量，但却按奈不住心中的野心，企图征服整个世界。珀魂带领同样有意颠覆奥尼政权的小天使们对奥尼发动战争。,
战争的余波震动出了时间，战争的爆破炸出了空间。,
炮弹的火花形成了太阳和星星，扬起的尘沙变成了星球。,
奥尼和珀魂之间的战争形成了现有的宇宙，如今破坏还在不断扩张之中。世界存在的本身，就是这场圣战的证据。,
奥尼最终成功打败了珀魂，把珀魂的肉体打入名为魔界的地狱成为魔王，并将珀魂的力量封印到了大陆中心。,
封印了魔王之力的石头。因此，被世人称为封魔石。,
然而，珀魂那近乎可以与创世之力匹敌的力量，当然不可能毫不反抗地就此罢休。每隔一千两百年，里头的力量就与封印之力发生冲突，成为封印之力最弱的时候。,
珀魂的力量，可以造神。因此，又被世人称为造神之石。,
封魔石和造神石，所指的都是同样的石头。,
据传在封印最弱的那一年中，一对有着共同目标的二个生物组合，若能在同时触碰造神石，该组合将能掌握处置这股力量的决定权，成为神或封印它。,
因此，当全世界众生为了争夺这股力量而进行的战斗就被称为了封魔造神之争。,
,
来自全世界有着怪异能力恐怖的生物们都在蠢蠢欲动中……,
,
对创世之力的贪念、妄想、占有欲，本书是在描述着这丑陋战争的故事。,
,
.,
.,
.,
才怪，我只是想要把一群很有趣和很特别的疯狂角色丢在一起，然后看他们打架，所以就写出来了，纯粹这样而已。",封魔造神之争,3.4万,34,2018-07-27 11:18,"
                        ,
                            连载中                    ",战斗|异界|超能力|2018轻之文库创想物语大赏1st,2小时前,http://www.linovel.net/book/104858.html,3.8万
kkkiii,"“欢迎光临！什么，灵异事件？寻找失物？恐吓信件？没问题，交给我们吧！”,
穿越在历史的时光中解决各种“疑难杂症”，就是我们笔娘侦探社的宗旨！,
,
能和一切活着的东西对话的胆小女子高中生社长，祖传的拥有穿越时空能力又阅历丰富的话唠笔娘接待，堪比人肉窃听器的四肢发达却特别情绪化的保镖，还有一个体弱多病却又堪称世界级计算机顶尖高手的幕后智多星。,
“不论您在哪年哪月哪个地点，我们一定会帮您解决问题的！不灵不要钱哦！”,
,
轻推理。,
,
基本日更（至少5/7），2k左右一章。,
",笔娘侦探社,<1万,0,18小时前,"
                        ,
                            连载中                    ",校园|超能力|悬疑|2018轻之文库创想物语大赏1st,2小时前,http://www.linovel.net/book/105632.html,7260
永安夜光,"一人一狗的胡闹永无终结之日,
,
如果，觉得本书前面比较无聊（落后4、5年的剧情），大概了解人物关系后，请跳到第六卷噩耗章节。",机智的女王才不是平胸,29.9万,337,2018-07-23 09:45,"
                        ,
                            连载中                    ",战斗|日常|同人,2小时前,http://www.linovel.net/book/104787.html,29.4万
岚凌,"“战争，战争永远不会停止。”,
989年，坐落于亚洲大陆东北部的新兴国家“华纳共和国”，被西部国土接壤的“恩姆斯帝国”大举出兵入侵，共和国为了应对不断扩大的败局，在长达十五年的战争中采取了一系列极端手段，成功扭转战局，与“恩姆斯帝国”达成长达六十年的“停战协定”。,
然而，这场突如其来的战争给“华纳共和国”带来的真正灾难，却从未因战争的停止而停止——战后第五年，随着一名来神秘“零号部队”部队的少女出现，“战争遗留问题调查调停处”再度步入了这场本该结束的战争。,
这是一场发生在战后的战争，这是一场从未停止过的战争。",Number：zero,30.6万,392,2018-07-21 01:05,"
                        ,
                            连载中                    ",幻想|战斗|科幻|2018轻之文库创想物语大赏1st,7小时前,http://www.linovel.net/book/104714.html,6.7万
Adamaxes,永远的七日之都同人主线 简介：那曾经被世人所遗忘的“第三方”，或许会为这个错误的世界带来变革吧。,赛哈姆主线：佣兵的抉择,5.3万,35,2018-08-18 03:20,"
                        ,
                            连载中                    ",战斗|科幻|超能力|永远的7日之都,7小时前,http://www.linovel.net/book/105324.html,3.4万
柠檬苏打水,"一通诡异的入职来电迫使林奇来到了一处名为爱丽丝圆梦俱乐部老宅。,
被同名爱丽丝的女人怂恿成为了俱乐部的老板，林奇恍然发现自己好像接手了一个了不得的地方。,
——因为这里的商品，从不曾流通在世面之上……,
“命运这种玩意儿真的能卖出去？”,
“当然，只要客人们付得起对应的‘价钱’。”",爱丽丝圆梦俱乐部,8.6万,88,2018-08-04 16:01,"
                        ,
                            连载中                    ",治愈|悬疑|2018轻之文库创想物语大赏1st,7小时前,http://www.linovel.net/book/104981.html,11.2万
皮皮柚,"选择了和濑由衣在一起的道路。,
无论何时，无论何地，只要有你。,
我真正的挚爱。,
（濑由衣专属剧情）,
（分为两个篇幅，第一个轻小说模式，第二个游戏具体攻略模式）",永七·真正的挚爱,2.1万,12,2018-08-11 23:34,"
                        ,
                            连载中                    ",恋爱|同人|永远的7日之都,6小时前,http://www.linovel.net/book/105186.html,1万
灯雨黄昏,"这是VR游戏和人工智能盛行的时代。,
普通大学生的我终于有了人生中第一个女朋友！,
虽然是虚拟现实恋爱游戏中的人工智能，自此我的生活天翻地覆……,
虚拟二次元“老婆”和现实同居的“女友”之间的修罗场？拥有自我意识的人工智能？,
我的虚拟和现实似乎哪里不对……",我的便携式游戏女友,748.9万,6298,2017-04-17 17:16,"
                        ,
                            连载中                    ",恋爱|后宫|科幻|治愈|悬疑,6小时前,http://www.linovel.net/book/101752.html,39.6万
弃武莫悲,"这个组织内部将最顶尖的刺客称为“敛容师”，,
他们手中的作品贯穿了生死的边界，是亡者最后的礼赞。,
敛容师陆吾不想拯救世界，只想和他爱看类似《X兽》动画片的妹妹咸鱼度日，,
但在一次刺杀行动后，他却成为了组织的弃子，还被一场超能战争卷入其中……,
在那之后，超越人类的灵能者、诡谲神秘的界外避难所、绵延千年的三族大战……,
隐藏在世界阴影中的秘密一一浮出水面，随之而来的是危机的狂潮。,
面对这些，陆吾只有一句话：,
“以杀戮迎接杀戮，将冷酷奉还冷酷。”",界外圣徒,4.3万,57,2018-08-20 21:17,"
                        ,
                            连载中                    ",战斗|科幻|超能力|2018轻之文库创想物语大赏1st,6小时前,http://www.linovel.net/book/105371.html,5.6万
杉田君的猫,"乙女向手游《恋与制作人》同人文，本篇主线为周棋洛线，讲述的是“我”作为该游戏的玩家，有一天穿越到身处恋语市的女主“悠然”身上，发生的一系列故事。,
本文在游戏原剧情基础上有女主性格设定改动，为了最大程度让原本的世界观和男主的人设保持原作的样子，所以剧情大致走向无改动，但是剧情细节有大量改动和扩写、重写，改动的部分约占本篇文章四分之三篇幅。",恋与制作人之棋洛无悔,17.7万,186,2018-08-19 04:29,"
                        ,
                            连载中                    ",恋爱|超能力|乙女,6小时前,http://www.linovel.net/book/105337.html,9.8万
溺海,"想要成为骑士却觉醒了“商业系”天职!?,
年轻商人奥兹与失忆的商业之神墨丘莉约定，在奥兹帮助女神重回神界前得到100%强制交易的能力——【商神之天秤】，以金钱为武器与蜂拥而至的敌人战斗。,
潜藏于迷雾之中的真相究竟是什么?,
命运的车辙印将向何方延续?,
“这一次，我要保护你们所有人!”,
商业题材的后宫恋爱冒险剧就此上演!!",商业系天职的战斗法则,42.8万,429,2018-05-21 23:18,"
                        ,
                            连载中                    ",幻想|战斗|异界|后宫,5小时前,http://www.linovel.net/book/104321.html,8.5万
路人君,"某个世界之中唯一的超能者凌宇堇，在某次从便利店出来之后，误入了一个与现实中的世界有微妙差异的现代地球，这是个有着普通人和超能者并存的世界。,
少年凌宇堇来到了从未见过的新世界，一个超能者与普通人共存的世界，并且在这个世界平静的生活了下去。在凌宇堇的周围，有着喜爱女装的女装大佬，有着从不上班的颓废上班族，也有着显得色眯眯的前辈，形形色色的人们充斥在凌宇堇的身边。,
某夜，误入了不该误入的现场的凌宇堇开始了亡命奔逃，以此，凌宇堇的命运之路飞速的向着不可知的方向发展……",超能世界,8.9万,62,2018-07-21 21:45,"
                        ,
                            连载中                    ",幻想|日常|超能力|2018轻之文库创想物语大赏1st,5小时前,http://www.linovel.net/book/104751.html,8万
玛丽·蕾捷斯卡,"安妮是一名出逃的杀人犯，她杀死了她寻找到的欺骗了自己七年之久的骗子后半路挣扎着想去自首，力竭的她却遇上了一个即便看过了安妮身上携带的所有杀人证据也坚称她没有杀人的怪男人……,
奇怪的是，警察真的没有找上门来……",七月雨,1.1万,9,6天前,"
                        ,
                            连载中                    ",幻想|治愈|悬疑,5小时前,http://www.linovel.net/book/105519.html,2.5万
SilenceSuzuka,"在这个销售大倡其行的世代，2035年，地球并没有经历什么末世，或是被毁灭，也没有进入什么科技化的高效时代。,
这是一个被销售行业洗脑的时代。秉承着不想当外卖员的销售不是一个好销售的原则。C司在豪杰林立销冠并起的滨海，始终占据着十八流的稳固地位。,
且看一群为了梦想努力拼搏的青年们，如何在此方开疆扩土。,
其实这只是一个过气公司的小职员日常喝茶谈天甚至堕落到随心所欲的用自己的态度对待客户的故事其中还混杂了个年龄不详来历不明的老妖怪嘻嘻嘻",节操贩卖机,10.4万,71,2018-07-21 03:41,"
                        ,
                            连载中                    ",日常|治愈|2018轻之文库创想物语大赏1st,5小时前,http://www.linovel.net/book/104717.html,3.5万
苏菲幻想,"电子脑症候群。,
指脑改造者因为过度使用电子脑和广泛应用脑机接口等原因，在临床上出现有幻觉、幻听等知觉障碍，以及存在部分虚假记忆或记忆发生错乱等症状。,
,
6岁时将大脑改造成电子脑的挪洛一直通过邮件来往的形式，利用电子脑高效的计算能力在网络上无偿帮助一些需要帮忙的人。,
某一天，他忽然受到一封神秘的邮件，邮件的主人并没有告诉他“委托”的相关信息，只对他说自己在一家微型机械开发公司等他。,
最后挪洛还是决定只身前往，却没有想到在那里见到的居然是一位……,
全身义体化的金发哥特萝莉？,
,
“你有什么问题吗？”,
“没、没有。”,
",电子脑症候群,3.7万,21,5天前,"
                        ,
                            连载中                    ",科幻|治愈|悬疑|2018轻之文库创想物语大赏1st,5小时前,http://www.linovel.net/book/105551.html,2.8万
甄剑云,舰队战术模拟游戏冠军重生到了另一个海洋占了80%的世界，这个魔法和剑的幻想世界各大强国都拥有着强大的舰队，天空上除了战斗机还有飞龙骑士。这个世界上除了互相对立的人类国家外，还有其他中立的亚人种族国度。作为舰队的指挥官，星古又会如何去带领舰队获得胜利呢？,钢铁方舟,43.3万,316,2017-09-10 10:22,"
                        ,
                            连载中                    ",幻想|战斗|异界|第二回新人赏  长篇组,5小时前,http://www.linovel.net/book/102859.html,21万
哲学♂boy,宇宙中央空间站，在这里的战士穿梭于虫洞之间，游玩于星球之上。寻找着别的世界上的有缘人，来一起拯救宇宙世界。 啊，又是完美的一天。。。。才怪！  作者：宇宙都要毁灭了！混蛋，你还在清闲吗！ 。。。。 男主：哪里清闲了，明明我有好好寻找有缘人，有好好拯救世界好不好。要先玩玩勇者斗恶龙1到8学习经验，才懂得怎么拯救世界，这是常识。（抠鼻）  作者：为什么宇宙的命运会交在你这个大叔手中啊！  男主：不要看不起大叔啊，大叔也有大叔的魅力，比如邋遢，性骚扰，颓废…… 作者：这哪里有魅力了啊！混球！  男主：真是没有办法，那我就破例让你和我一起玩勇者斗恶龙吧（无奈） 作者：要点根本不在这里啊！！！！  男主：所以说作品介绍就写这种东西？这种介绍编辑看都不会看吧，到时候签约绝对完蛋。（把鼻屎擦在桌子上面） 作者：那还不是你的锅，死都不去完成任务！  男主：真是没有办法，那就在最后点一下题吧。（无奈）读者们哟，接收我的邀请，和我一起拯救世界吧！ ,和我一起拯救世界吧,4.7万,57,7天前,"
                        ,
                            连载中                    ",战斗|治愈|超能力|2018轻之文库创想物语大赏1st,5小时前,http://www.linovel.net/book/105510.html,11.2万
